City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
3,Nelson Bay,AU,66.25,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
4,Shimoda,JP,69.15,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
5,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Lardos,GR,75.02,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
18,Goma,CD,63.82,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
19,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
20,Castro,BR,60.21,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
23,Jamestown,US,71.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Tecoanapa,MX,79.54,overcast clouds,16.5167,-98.75,Hotel Manglares
26,Nantucket,US,62.71,overcast clouds,41.2835,-70.0995,Jared Coffin House
29,Honiara,SB,74.61,overcast clouds,-9.4333,159.95,Heritage Park Hotel
30,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
34,Novo Hamburgo,BR,63.45,overcast clouds,-29.6783,-51.1306,ibis Novo Hamburgo
35,Ribeira Grande,PT,74.28,few clouds,38.5167,-28.7,Quinta da Meia Eira
36,Samarai,PG,80.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
37,Bac Lieu,VN,76.82,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
38,Acapulco,MX,80.06,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
41,Hilo,US,87.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
47,Ahipara,NZ,62.62,clear sky,-35.1667,173.1667,Ahipara Holiday Park
49,Karratha,AU,68.56,clear sky,-20.7377,116.8463,ibis Styles Karratha
55,Susehri,TR,61.36,overcast clouds,40.1644,38.0867,Su Vadi Hotel
58,Vieux-Habitants,GP,81.97,broken clouds,16.0589,-61.7659,Habitation GETZ
59,Kaspiysk,RU,64.58,clear sky,42.8816,47.6392,Alima Hostel
60,Zhanaozen,KZ,70.48,clear sky,43.3,52.8,K.korabay 28A
63,Rikitea,PF,73.36,light rain,-23.1203,-134.9692,People ThankYou
64,Richards Bay,ZA,62.62,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
65,Auki,SB,75.22,light rain,-8.7676,160.7034,Auki Motel
67,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
70,Atuona,PF,76.8,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
72,Kapaa,US,87.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Dingle,PH,77.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Melilla,ES,73.78,few clouds,35.2937,-2.9383,Hotel Anfora
78,Epe,NG,74.14,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
79,Hamilton,US,86.2,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
80,Santa Teresa,VE,73.92,broken clouds,10.2341,-66.6631,Funeraria Lira
82,Santarem,BR,84.33,clear sky,-2.4431,-54.7083,Hotel Imperador
83,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Inhambane,MZ,73.67,scattered clouds,-23.865,35.3833,Oceano
90,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,Le four à pain
91,Madang,PG,79.07,heavy intensity rain,-5.2246,145.7966,Comfort Inn Hotel
96,Meadow Lake,US,87.6,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
97,Westport,US,75.78,broken clouds,41.1415,-73.3579,The Westport Inn
101,Cabo San Lucas,MX,83.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
104,Nachingwea,TZ,66.81,few clouds,-10.3833,38.7667,Makoga lodge
105,Hithadhoo,MV,81.28,clear sky,-0.6,73.0833,Scoop Guest House
106,Yurimaguas,PE,80.76,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
107,Arroyo,ES,63.59,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
108,Mitsamiouli,KM,74.62,few clouds,-11.3847,43.2844,Foyer ADM
111,Russell,US,87.08,clear sky,32.3502,-85.1999,Macs
112,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
119,Carnarvon,AU,64.24,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
120,Smithers,CA,66.52,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
121,Uruacu,BR,85.62,overcast clouds,-14.5247,-49.1408,Cassius Hotel
123,Iracoubo,GF,80.47,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
124,Dunmore Town,BS,83.57,clear sky,25.5,-76.65,Coral Sands Hotel
126,Pondicherry,IN,80.2,overcast clouds,11.93,79.83,Villa Shanti for food lovers
127,Zunyi,CN,63.28,overcast clouds,27.6867,106.9072,Bishiluo Hostel
130,Guanare,VE,76.53,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
132,North Bend,US,66.92,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
134,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
136,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
138,Lompoc,US,75.85,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
139,Puerto Baquerizo Moreno,EC,70.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
141,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
142,Sechura,PE,68.18,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
144,Asyut,EG,78.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
146,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
147,Arinos,BR,77.86,moderate rain,-15.9169,-46.1056,casa do bruno
148,Pilar,BR,73.33,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
151,Mattru,SL,72.25,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
152,Amarante Do Maranhao,BR,84.02,few clouds,-5.5667,-46.7422,Hotéis Caçulinha
156,Ponta Do Sol,PT,74.03,scattered clouds,32.6667,-17.1,Hotel do Campo
157,Sabang,ID,82.09,overcast clouds,5.8933,95.3214,Hotel Citra
158,Fallon,US,69.67,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
159,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
160,Fort Nelson,CA,60.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
162,Luganville,VU,82.8,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
166,Jagalur,IN,67.08,overcast clouds,14.5333,76.35,Fayaz's manzil
168,Cacu,BR,82.87,overcast clouds,-18.5567,-51.1308,Império Hotel
169,Xai-Xai,MZ,67.01,moderate rain,-25.0519,33.6442,Complexo da Familia
170,Sioux Lookout,CA,68.07,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
173,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
174,Sorrento,IT,70.66,clear sky,40.626,14.3744,Hilton Sorrento Palace
175,Curup,ID,68.13,overcast clouds,-3.4667,102.5333,Ayi The Costel
176,Muros,ES,67.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
178,Kakori,IN,80.55,mist,26.8833,80.8,Vision
179,Lagoa,PT,73.65,few clouds,39.05,-27.9833,Casa Das Faias
181,Januaria,BR,81.79,light rain,-15.4833,-44.3667,Hotel Paraguassu
185,Palimbang,PH,81.14,overcast clouds,6.2106,124.1894,Felmar Beach resort
186,Santo Amaro Da Imperatriz,BR,68.79,few clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
189,Beecher,US,68.32,broken clouds,43.09,-83.6944,"Holt's Mobile Home Court, Sales and RV Park"
190,Kinablangan,PH,79.72,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
191,Tonantins,BR,72.73,light rain,-2.8731,-67.8022,Hotel Hortensias
193,Tura,IN,72.72,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
196,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
197,Mackay,AU,77.68,broken clouds,-21.15,149.2,International Lodge Motel
198,Gold Coast,AU,72.18,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
199,Isangel,VU,81.37,clear sky,-19.55,169.2667,Tanna Lodge
200,Port Blair,IN,80.29,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
201,Pergamino,AR,60.13,overcast clouds,-33.89,-60.5736,Hotel Fachinat
202,Caravelas,BR,72.3,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
205,Quilali,NI,77.85,broken clouds,13.567,-86.026,Hospedaje Sandoval
206,Ahuimanu,US,86.94,broken clouds,21.4447,-157.8378,Paradise Bay Resort
207,Lima,PE,62.91,overcast clouds,-12.0432,-77.0282,Hotel Kamana
210,Santander,ES,60.46,clear sky,43.4647,-3.8044,Abba Santander Hotel
211,Labuhan,ID,77.81,light rain,-6.8844,112.2051,DoubleFAG
212,Kota Belud,MY,76.93,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
213,Sesheke,ZM,74.39,broken clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
215,Bambanglipuro,ID,75.87,overcast clouds,-7.95,110.2833,Puri Brata
216,Faanui,PF,78.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
219,Sumbe,AO,69.96,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
222,Neftcala,AZ,74.95,scattered clouds,39.3742,49.2472,Otel restoran
224,Namatanai,PG,79.88,light rain,-3.6667,152.4333,Seagulls Inn Namatani
226,Takoradi,GH,74.93,broken clouds,4.8845,-1.7554,Raybow International Hotel
229,Palasa,IN,76.77,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
231,Shieli,KZ,69.57,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
232,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
233,Dryden,CA,68.29,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
235,Pringsewu,ID,72.68,overcast clouds,-5.3582,104.9744,Urban Style by Front One
236,Komsomolskiy,UZ,68.72,scattered clouds,40.4272,71.7189,Ikathouse
238,Bethel,US,73.27,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
242,Imbituba,BR,62.1,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
243,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
245,Keti Bandar,PK,80.73,broken clouds,24.1447,67.4497,Haji laloo memon house
247,Mattawa,US,80.02,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
249,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
251,Jalu,LY,84.72,clear sky,29.0331,21.5482,صاحبة الفخامة
253,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
254,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
255,Touros,BR,76.08,few clouds,-5.1989,-35.4608,INN NEW HORIZON
256,Port Hardy,CA,64.58,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
257,Rincon,US,83.95,clear sky,32.296,-81.2354,Days Inn Rincon
259,Hasaki,JP,64.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
