City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-09-20 18:12:51,-9.8,-139.0333,76.55,76,34,22.15
1,Vaini,TO,2022-09-20 18:12:02,-21.2,-175.2,71.76,94,40,8.05
2,Aklavik,CA,2022-09-20 18:12:16,68.2191,-135.0107,42.8,87,100,3.44
3,Kapaa,US,2022-09-20 18:11:57,22.0752,-159.319,80.92,70,20,11.5
4,Hobart,AU,2022-09-20 18:11:26,-42.8794,147.3294,53.46,62,100,6.91
5,Albany,US,2022-09-20 18:15:27,42.6001,-73.9662,72.95,78,90,1.01
6,Dicabisagan,PH,2022-09-20 18:14:33,17.0818,122.4157,76.32,89,100,3.27
7,Rikitea,PF,2022-09-20 18:12:20,-23.1203,-134.9692,72.93,73,0,15.75
8,Punta Arenas,CL,2022-09-20 18:15:05,-53.15,-70.9167,50.02,53,75,14.97
9,Tomatlan,MX,2022-09-20 18:13:40,19.9333,-105.25,85.91,65,74,3.47
10,Qaanaaq,GL,2022-09-20 18:16:12,77.484,-69.3632,24.15,58,100,6.44
11,Ushuaia,AR,2022-09-20 18:13:09,-54.8,-68.3,47.86,43,0,10.36
12,Comodoro Rivadavia,AR,2022-09-20 18:16:13,-45.8667,-67.5,44.46,100,100,14.97
13,Ribeira Grande,PT,2022-09-20 18:13:28,38.5167,-28.7,79.2,73,20,9.22
14,Mar Del Plata,AR,2022-09-20 18:13:06,-38.0023,-57.5575,57.22,66,0,11.99
15,Nazareno Etla,MX,2022-09-20 18:16:15,17.1783,-96.8239,72.39,51,100,4.0
16,Dong Hoi,VN,2022-09-20 18:16:15,17.4833,106.6,80.58,84,100,3.15
17,Lookan,PH,2022-09-20 18:16:16,5.037,120.1027,82.63,71,84,3.53
18,Chokurdakh,RU,2022-09-20 18:12:40,70.6333,147.9167,31.55,92,100,14.29
19,Butaritari,KI,2022-09-20 18:12:54,3.0707,172.7902,80.26,76,100,9.78
20,Saurimo,AO,2022-09-20 18:16:18,-9.6608,20.3916,77.07,49,82,2.15
21,Banyo,CM,2022-09-20 18:16:20,6.75,11.8167,67.1,93,91,2.35
22,Westport,US,2022-09-20 18:15:59,41.1415,-73.3579,79.74,60,100,8.05
23,Krasnoselkup,RU,2022-09-20 18:16:21,65.7,82.4667,34.93,60,100,11.52
24,Torbay,CA,2022-09-20 18:12:40,47.6666,-52.7314,57.27,71,75,9.22
25,Bambous Virieux,MU,2022-09-20 18:12:39,-20.3428,57.7575,71.85,83,40,10.36
26,Ust-Tsilma,RU,2022-09-20 18:13:18,65.441,52.1498,49.75,91,100,9.24
27,Dingle,PH,2022-09-20 18:14:21,10.9995,122.6711,75.78,90,100,2.71
28,Nadym,RU,2022-09-20 18:16:23,65.5333,72.5167,47.91,97,100,17.38
29,Codrington,AU,2022-09-20 18:12:42,-38.2667,141.9667,54.05,72,100,5.66
30,Pevek,RU,2022-09-20 18:12:32,69.7008,170.3133,33.82,68,21,10.87
31,Bluff,NZ,2022-09-20 18:12:09,-46.6,168.3333,46.8,84,88,4.52
32,Babaeski,TR,2022-09-20 18:16:24,41.4325,27.0931,63.16,45,17,5.79
33,Cape Town,ZA,2022-09-20 18:08:02,-33.9258,18.4232,62.28,66,0,7.0
34,Cabo San Lucas,MX,2022-09-20 18:13:19,22.8909,-109.9124,83.61,79,100,16.11
35,Nanortalik,GL,2022-09-20 18:14:18,60.1432,-45.2371,42.22,89,95,10.04
