City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bolshaya Glushitsa,RU,50.2406,43.5908,59.97,73,100,4.5,overcast clouds
1,Butaritari,KI,3.0707,172.7902,80.13,75,96,4.74,overcast clouds
2,Kaitangata,NZ,-46.2817,169.8464,40.82,94,29,3.62,scattered clouds
3,Asau,RO,46.4333,26.4,47.32,92,100,0.72,overcast clouds
4,Albany,US,42.6001,-73.9662,78.24,67,10,1.99,clear sky
5,Mahebourg,MU,-20.4081,57.7,72.25,83,75,13.8,broken clouds
6,Keti Bandar,PK,24.1447,67.4497,81.27,72,2,12.59,clear sky
7,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,0,9.22,clear sky
8,Bredasdorp,ZA,-34.5322,20.0403,52.79,87,0,0.63,clear sky
9,Guerrero Negro,MX,27.9769,-114.0611,80.56,56,14,9.57,few clouds
10,Kapaa,US,22.0752,-159.319,82.72,76,20,12.66,few clouds
11,Tiksi,RU,71.6872,128.8694,33.22,99,100,15.12,snow
12,Punta Arenas,CL,-53.15,-70.9167,57.22,58,0,8.05,clear sky
13,Castro,BR,-24.7911,-50.0119,59.07,98,100,6.35,light rain
14,Erdenet,MN,49.0333,104.0833,32.25,81,9,1.86,clear sky
15,Thompson,CA,55.7435,-97.8558,48.36,57,75,6.91,broken clouds
16,Hobart,AU,-42.8794,147.3294,52.27,91,36,5.75,scattered clouds
17,Rajsamand,IN,25.0667,73.8833,78.13,61,96,12.97,overcast clouds
18,Bethel,US,41.3712,-73.414,80.19,60,0,4.61,clear sky
19,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,75,13.8,light rain
20,Airai,TL,-8.9266,125.4092,59.99,87,100,2.95,overcast clouds
21,Upernavik,GL,72.7868,-56.1549,34.12,70,100,5.5,overcast clouds
22,Juneau,US,58.3019,-134.4197,57.11,95,100,17.27,overcast clouds
23,Saskylakh,RU,71.9167,114.0833,16.18,96,45,5.61,scattered clouds
24,Cherskiy,RU,68.75,161.3,36.16,62,78,7.61,broken clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,87,100,18.41,light rain
26,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,23.02,broken clouds
27,Hilo,US,19.7297,-155.09,81.25,84,100,8.05,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,75.16,87,92,11.01,overcast clouds
29,Javanrud,IR,34.7961,46.5172,71.33,26,95,3.24,overcast clouds
30,Anadyr,RU,64.75,177.4833,41.5,100,75,11.18,light rain
31,Mar Del Plata,AR,-38.0023,-57.5575,55.42,74,0,12.66,clear sky
32,Shelabolikha,RU,53.4131,82.6167,56.34,42,98,1.68,overcast clouds
33,Kirakira,SB,-10.4544,161.9205,75.97,85,66,4.56,broken clouds
34,Burgeo,CA,47.6167,-57.6152,54.66,93,100,25.3,overcast clouds
35,Katsuura,JP,35.1333,140.3,68.38,72,100,20.42,overcast clouds
36,Fort-Shevchenko,KZ,44.5086,50.263,75.38,37,0,7.9,clear sky
37,Yerbogachen,RU,61.2767,108.0108,28.63,94,100,1.99,overcast clouds
38,Atuona,PF,-9.8,-139.0333,76.35,81,70,22.59,light rain
39,Kumla,SE,59.1277,15.1434,47.34,87,0,3.44,clear sky
40,Vestmannaeyjar,IS,63.4427,-20.2734,50.9,88,100,7.92,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,51.91,74,30,2.75,scattered clouds
42,Busselton,AU,-33.65,115.3333,46.47,69,11,8.03,few clouds
43,Kilindoni,TZ,-7.9139,39.6668,75.78,75,10,15.5,clear sky
44,Yulara,AU,-25.2406,130.9889,56.77,35,0,8.9,clear sky
45,Jamestown,US,42.097,-79.2353,74.79,78,100,8.05,thunderstorm with light rain
46,Port Alfred,ZA,-33.5906,26.891,59.18,88,46,1.99,scattered clouds
47,Bluff,NZ,-46.6,168.3333,44.08,87,19,6.13,few clouds
48,Ribeira Grande,PT,38.5167,-28.7,77.4,78,40,8.05,scattered clouds
49,Ribeirao Branco,BR,-24.2208,-48.7656,57.72,98,100,5.37,moderate rain
50,Hermanus,ZA,-34.4187,19.2345,53.8,78,6,2.19,clear sky
51,Georgetown,MY,5.4112,100.3354,78.73,90,20,0.0,few clouds
52,Kahului,US,20.8947,-156.47,86.02,51,20,14.97,few clouds
53,Chegdomyn,RU,51.1167,133.0167,44.91,92,100,2.48,overcast clouds
54,Mount Isa,AU,-20.7333,139.5,64.17,42,78,8.05,broken clouds
55,Mackay,AU,-21.15,149.2,71.69,86,32,3.83,scattered clouds
56,Kavieng,PG,-2.5744,150.7967,80.82,72,99,1.14,overcast clouds
57,Kodiak,US,57.79,-152.4072,53.11,47,0,11.5,clear sky
58,Sitka,US,57.0531,-135.33,57.09,88,20,0.0,few clouds
59,Honiara,SB,-9.4333,159.95,74.88,89,100,4.16,overcast clouds
60,Klaksvik,FO,62.2266,-6.589,52.72,96,100,24.92,overcast clouds
61,Tateyama,JP,34.9833,139.8667,68.09,69,100,19.66,overcast clouds
62,Gualaceo,EC,-2.9,-78.7833,78.46,66,75,8.05,light rain
63,Agirish,RU,61.9247,63.0231,48.67,84,100,11.07,overcast clouds
64,High Level,CA,58.5169,-117.136,57.31,62,40,8.05,scattered clouds
65,Kostroma,RU,57.7708,40.9344,50.79,70,100,8.61,overcast clouds
